../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/prompt_role_prompting_parte_1.csv | Tempo: 0.24 min | Prompt tokens: 5532 | Saída tokens: 356 | Total tokens: 5888
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/run_2_parte_12.csv | Tempo: 0.05 min | Prompt tokens: 5611 | Saída tokens: 300 | Total tokens: 5911
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/run_3_parte_1.csv | Tempo: 0.05 min | Prompt tokens: 5532 | Saída tokens: 300 | Total tokens: 5832
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/run_3_parte_2.csv | Tempo: 0.05 min | Prompt tokens: 5576 | Saída tokens: 300 | Total tokens: 5876
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/run_3_parte_3.csv | Tempo: 0.05 min | Prompt tokens: 4592 | Saída tokens: 300 | Total tokens: 4892
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/run_3_parte_4.csv | Tempo: 0.05 min | Prompt tokens: 4705 | Saída tokens: 300 | Total tokens: 5005
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/run_3_parte_5.csv | Tempo: 0.05 min | Prompt tokens: 4685 | Saída tokens: 300 | Total tokens: 4985
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/run_3_parte_6.csv | Tempo: 0.05 min | Prompt tokens: 4766 | Saída tokens: 300 | Total tokens: 5066
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/run_3_parte_7.csv | Tempo: 0.05 min | Prompt tokens: 5343 | Saída tokens: 300 | Total tokens: 5643
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/run_3_parte_8.csv | Tempo: 0.05 min | Prompt tokens: 5238 | Saída tokens: 300 | Total tokens: 5538
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/run_3_parte_9.csv | Tempo: 0.05 min | Prompt tokens: 4815 | Saída tokens: 300 | Total tokens: 5115
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/run_3_parte_10.csv | Tempo: 0.05 min | Prompt tokens: 5578 | Saída tokens: 300 | Total tokens: 5878
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/run_3_parte_11.csv | Tempo: 0.05 min | Prompt tokens: 4550 | Saída tokens: 300 | Total tokens: 4850
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/run_3_parte_12.csv | Tempo: 0.05 min | Prompt tokens: 5611 | Saída tokens: 300 | Total tokens: 5911
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/run_4_parte_1.csv | Tempo: 0.05 min | Prompt tokens: 5532 | Saída tokens: 300 | Total tokens: 5832
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/run_4_parte_2.csv | Tempo: 0.05 min | Prompt tokens: 5576 | Saída tokens: 300 | Total tokens: 5876
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/run_4_parte_3.csv | Tempo: 0.05 min | Prompt tokens: 4592 | Saída tokens: 300 | Total tokens: 4892
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/run_4_parte_4.csv | Tempo: 0.05 min | Prompt tokens: 4705 | Saída tokens: 300 | Total tokens: 5005
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/run_4_parte_5.csv | Tempo: 0.05 min | Prompt tokens: 4685 | Saída tokens: 300 | Total tokens: 4985
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/run_4_parte_6.csv | Tempo: 0.05 min | Prompt tokens: 4766 | Saída tokens: 300 | Total tokens: 5066
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/run_4_parte_7.csv | Tempo: 0.06 min | Prompt tokens: 5343 | Saída tokens: 300 | Total tokens: 5643
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/run_4_parte_8.csv | Tempo: 0.05 min | Prompt tokens: 5238 | Saída tokens: 300 | Total tokens: 5538
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/run_4_parte_9.csv | Tempo: 0.06 min | Prompt tokens: 4815 | Saída tokens: 300 | Total tokens: 5115
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/run_4_parte_10.csv | Tempo: 0.05 min | Prompt tokens: 5578 | Saída tokens: 300 | Total tokens: 5878
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/run_4_parte_11.csv | Tempo: 0.05 min | Prompt tokens: 4550 | Saída tokens: 300 | Total tokens: 4850
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/run_4_parte_12.csv | Tempo: 0.05 min | Prompt tokens: 5611 | Saída tokens: 300 | Total tokens: 5911
../datasets/telegram/parte_1_telegram.csv -> ./resultados/telegram/run_5_parte_1.csv | Tempo: 0.05 min | Prompt tokens: 5532 | Saída tokens: 300 | Total tokens: 5832
../datasets/telegram/parte_2_telegram.csv -> ./resultados/telegram/run_5_parte_2.csv | Tempo: 0.05 min | Prompt tokens: 5576 | Saída tokens: 300 | Total tokens: 5876
../datasets/telegram/parte_3_telegram.csv -> ./resultados/telegram/run_5_parte_3.csv | Tempo: 0.05 min | Prompt tokens: 4592 | Saída tokens: 300 | Total tokens: 4892
../datasets/telegram/parte_4_telegram.csv -> ./resultados/telegram/run_5_parte_4.csv | Tempo: 0.05 min | Prompt tokens: 4705 | Saída tokens: 300 | Total tokens: 5005
../datasets/telegram/parte_5_telegram.csv -> ./resultados/telegram/run_5_parte_5.csv | Tempo: 0.05 min | Prompt tokens: 4685 | Saída tokens: 300 | Total tokens: 4985
../datasets/telegram/parte_6_telegram.csv -> ./resultados/telegram/run_5_parte_6.csv | Tempo: 0.05 min | Prompt tokens: 4766 | Saída tokens: 300 | Total tokens: 5066
../datasets/telegram/parte_7_telegram.csv -> ./resultados/telegram/run_5_parte_7.csv | Tempo: 0.05 min | Prompt tokens: 5343 | Saída tokens: 300 | Total tokens: 5643
../datasets/telegram/parte_8_telegram.csv -> ./resultados/telegram/run_5_parte_8.csv | Tempo: 0.05 min | Prompt tokens: 5238 | Saída tokens: 300 | Total tokens: 5538
../datasets/telegram/parte_9_telegram.csv -> ./resultados/telegram/run_5_parte_9.csv | Tempo: 0.05 min | Prompt tokens: 4815 | Saída tokens: 300 | Total tokens: 5115
../datasets/telegram/parte_10_telegram.csv -> ./resultados/telegram/run_5_parte_10.csv | Tempo: 0.05 min | Prompt tokens: 5578 | Saída tokens: 300 | Total tokens: 5878
../datasets/telegram/parte_11_telegram.csv -> ./resultados/telegram/run_5_parte_11.csv | Tempo: 0.05 min | Prompt tokens: 4550 | Saída tokens: 300 | Total tokens: 4850
../datasets/telegram/parte_12_telegram.csv -> ./resultados/telegram/run_5_parte_12.csv | Tempo: 0.05 min | Prompt tokens: 5611 | Saída tokens: 300 | Total tokens: 5911
