text_content_anonymous,id
A esquerda é maldita. Crinosos.   Criando uma calúnia igual esta. É partir o coração com tanta injustiça contra esse homem. DEUS vai dar livramento ao nosso povo dessas mentiras  criadas pelos filhos das trevas. Eles pagarão um preço Alto. Pode apostar.,2425
"A TAMMY QUER SER HOMEM, O PABLO EVITAR, QUER SER MULHER, O LADRÃO DE 19DEDO QUER SER HONESTO E NÓS SOMOS OBRIGADOS A ENGOLIR, AGORA O CARA QUER SER PADRE E A ESQUERDA DIZ QUE ELE NÃO É. VÃO SER PROCESSADOS POR PADROFOBIA.",1277
"Pessoal é o seguinte, tomemos cuidado para não dar bad vibe, eleitores de Bolsonaro não podem desistir, precisamos nos unir, não deixar ter abstenções.
Vamos ter calma e reagrupar. 
Deus tenha misericórdia do nosso Brasil :Brazil:",1678
":warning: O dia de tomar a melhor decisão para o nosso estado está chegando e o #Desafio1199 e o 8º desafio tem um recado muito especial!   É isso aí, dona Lú! É muito importante que o pessoal da melhor idade vote e cumpra seu papel de cidadão. Então prepare a colinha para o vô, a vó e vamos juntos de :keycap_1::keycap_1::keycap_9::keycap_9: no domingo :check_mark_button:  #AnaPaulaÉFederal #Vote1199 #AFederalQueAGentePrecisa",410
Tem negócio de orar mais não orar era antes muitos cristãos falsos Cristão que voltaram nesse macumbeiro endemoniado que vão pagar um preço caro infelizmente nós vamos pagar preço com eles também,2823
"Pessoal, nós não vamos convencer os eleitores do Luladrão a mudar seu voto. Temos que focar nos mais de 31 milhões de abstenções e convence-los a votar  Bolsonaro. 
Aí sim ganharemos as eleições.",2054
"4 DEPUTADOS FEDERAIS  MAIS VOTADOS PARANÁ
DELTON
FELIPE BARROS
GLEICE
BETO PRETO 
2 PETISTAS",1362
"2 DE OUTUBRO, 
TODOS NAS RUAS
DE VERDE E AMRELO.
:green_heart::yellow_heart:
DEPOIS DE VOTARMOS.
NA HORA DE CONTAGENS 
DOS VOTOS, 
ISSO É PARA 
REFORÇAMOS 
NOSSA VITÓRIA  
E GARANTIRMOS 
O RESULTADO. 
:Brazil:
JAIR MESSIAS BOLSONARO REELEITO!!
DEUS, PÁTRIA E FAMÍLIA 
:Brazil::green_heart::yellow_heart::blue_heart::white_heart::Brazil:
:smiling_face_with_sunglasses::backhand_index_pointing_right_light_skin_tone::backhand_index_pointing_right_light_skin_tone:",123
"PESSOAL ATENÇÃO! 

SEI QUE ABALA UM POUCO TODOS NÓS VER A DIFERENÇA REDUZINDO! 

MAS ACHO QUE É CLARO PRA TODOS: 

ESTAMOS LIDANDO COM MÁFIA, QUADRILHA, BANDIDOS!

É OBVIO QUE ESTÁ HAVENDO FRAUDE! É ÓBVIO! 

TENHO DITO: SE PREPAREM PARA SAIR ÀS RUAS!

NÃO VAMOS ACEITAR ESSE SISTEMA DE VOTAÇÃO E PONTO FINAL! 

VAMOS PARAR O BRASIL!

COMECEM A DIVULGAR ISSO NOS GRUPOS! 

SE FORMOS ÀS RUAS BOLSONARO VAI ORDENAR ÀS FORÇAS ARMADAS À AGIR! 

REPITO: VAMOS TOMAR AS RUAS DO BRASIL! 

FORÇA E HONRA! 
DEUS ABENÇOE O BRASIL!  :Brazil::Brazil::Brazil:",1400
VAMOS LEVANTAR PESSOAL! SEGUNDO TURNO TUDO VAI MUDAR SE DEUS QUISER,1476
O queria saber o porquê que na esquerda só tem mulheres feias...parecem dragões,876
"IGREJA DE SÃO MATEUS NO PARANÁ É INVADIDA POR CRÁPULAS, ISSO É SÓ O INÍCIO. POSICIONE-SE… VAMOS BANIR ESSA ESQUERDALHA AMALDIÇOADA DOENTIA E FEDORENTAA",2178
"MICHELLE BOLSONARO 
""Nós selamos aqui, agora, Senhor, as portas do inferno. As portas dos infernos não prevalecerão contra a igreja do Senhor. As portas do inferno não prevalecerão contra as nossas famílias. As portas do inferno não prevalecerão contra a nossa nação brasileira.""

Canal
[USER]:Brazil:",1049
"O carlinhos é um viado, o carlinhos é um viado chupando homens e engolindo esperma, carlinhos vc é um viado hein vc chupa um monte de pinto e engole bastante esperma, homens mijando na boca do carlinhos, homens mijando na boca do carlinhos, homens mijando dentro da boca do carlinhos, eu sou um estrupado, eu gosto de ser estrupado, eu amo ser estrupado, eu amo ser arrombado, eu sou um estrupadoO carlinhos é um viado, o carlinhos é um viado chupando homens e engolindo esperma, carlinhos vc é um viado hein vc chupa um monte de pinto e engole bastante esperma, homens mijando na boca do carlinhos, homens mijando na boca do carlinhos, homens mijando dentro da boca do carlinhos, eu sou um estrupado, eu gosto de ser estrupado, eu amo ser estrupado, eu amo ser arrombado, eu sou um estrupado",271
"Patriota, aqui é Coronel Koury, do Grupo B-38. Esse é meu último vídeo antes das eleições. A lei prevê o voto em cédulas, muitos brasileiros irão votar em cédulas, principalmente no exterior. Podemos pedir que TODOS votem em cédulas! Faz 4 anos que nosso grupo vem avisando. Peço que repasse este texto e o vídeo. Deus nos ajude. BOLSONARO 22.",880
Será? Estou tão desacreditada. Meu Deus fazei com q eu não perca a minha esperança.:loudly_crying_face:,1875
O comunismo é anti-vida. Antagônico à felicidade humana e alegria. Ele mata a Liberdade. Que Deus seja misericordioso com seus filhos nesta nação! :Brazil:,2454
"Bom dia amigos, recebemos uma sugestão excelente: como se trata de uma guerra espiritual,não uma eleição ,quando for votar imponha as mãos sobre a urna e clame a Deus para que não haja fraudes nela em nome de Jesus !! Repasse para outros irmãos na fé que você tenha !!:folded_hands:",1160
Isso não vai acontecer. Vai ser tudo fraudado outravez. Gostaria muito que fosse diferente mas nosso Presidente é muito passivo. Se não tiver atitudes severas não chegaremos a lugar algum. Essa história de dizer que o povo tem que ir pras ruas pedir isso ou aquilo já deu. Desculpa mas é minha opinião revoltada.,1696
"Por determinação do Escalão Superior, incumbiu-me o Sr Cmt da 2ª Cia/PM, de informar aos Policiais Militares Inativos, que no proximo domingo, dia 02OUT22, haverá as eleições. Determinação do Escalão Superior. A todos o Policiais Militares Inativos, quando forem votar, não poderão levar o celular e nem a arma de fogo. Está proibido, caso algum Policial Militar Ativo ou Inativo for votar armado, com exceção o Policial Militar que estiver fardado e de serviço, será preso por Porte Ilegal de Arma de Fogo. Portanto para não ocorrer desabores, peço que cumprem a referida determinação. 1º Sgt PM Zanin - Auxiliar SPJMD.",428
Pois é meu amigo quem acredita em pesquisa da esquerda só pessoa da esquerda mesmo então tu parece ser um desses se é um esquerdício infiltrado no meio dos patriotas,1027
"O segredo e esse, e bíblico vamos seguir este meta amém povo de Deus",1600
"Enfim, Deus tenha misericórdia de nós e nossos filhos, são vai acreditar quando nosso país se tornar uma Venezuela",1622
"Amigos, 
Quero relatar algo muito estranho.
Após 60% das apurações Lula subiu 0,5% a cada 12 milhões de votos de forma linear, sem nenhuma variação!
É matematicamente IMPOSSÍVEL!",1528
"Na Bahia, vote na deputada estadual da Dra. Raissa Soares. 
Carla xavier é formada em direito,faz parte da frente de defesa pessoal, Cristão, apoiadora do presidente  Jair Bolsonaro desde 2018, e está sendo desempenhado projetos importantes para a Bahia, dizer as verdades que a esquerda não gosta de ouvir!
:keycap_2::keycap_2::keycap_3::keycap_6::keycap_9::check_mark_button:
Carla xavier
Deputada Estadual.",509
"Vi que o grupo aqui já está cheio se vcs conhecerem alguém que queiram participar de um grupo sério do Bolsonaro me avisem meu ainda tem bastante vaga. Não vou colocar o link aqui para não faltar a ética mas entendo que é tempo de nós unirmos quem já está aqui já está mas tem muita gente querendo participar de um grupo e muitos estão lotados se estamos juntos pelo mito então me ajudem a trazer pessoas que estão sem grupos para o meu ESTOU COM BOLSONARO DE NOVO
FALEM COMIGO NO PV PRA NAO Tumultuar O GRUPO AQUI obrigada a todos e Deus abençoe :Brazil:",971
"GENTE 
É SIMPLES 

PRESTA ATENCAO 

MINISTRO TIRA LULADRAO DA  CADEIA

STF ABSOLVE O MALDITO 

E O TORNA ELEGÍVEL 

DEPOIS NEGAM O VOTO IMPRESSO 

PROIBE UM MONTE DE COISAS

O BRASILEIRO FROUXO ASSISTE TUDO DA GLOBOBUNDA E FICA NO SOFÁ 

AQUELA MULTIDAO EM BRASILIA TIVESSE ARRANCADO DO PODER PELO PESCOÇO
MORAES 
BARROSO 
FACCINE E COMPANHIA 

AS ELEIÇOES FOSSEM MAIS TRANSPARENTE E  MENOS FRAUDE",1385
"O Coronel Moreno é o único de Direita.
Vote 14 pra Governador",291
Como sempre a foto do Luladrão tem que está no meio kk,1090
":keycap_2:

15. Em outras palavras, as emendas do relator podem até ser criticadas, mas apenas numa lógica de eficiência do gasto público, questionando se os parlamentares direciom os recursos para as áreas que mais precisam, e nunca por configurar compra de apoio, como ocorria no Mensalão.

16. Pior: para conseguir apoio, Lula e o PT usavam emendas; loteavam ministérios e estatais, entregando parcelas muito maiores do orçamento nas mãos dos partidos; e ainda desviavam dinheiro público para comprar parlamentares e anular o Legislativo. Era tudo ao mesmo tempo!

17. Então, da próxima vez que você encontrar alguém malandramente tentando comparar as duas coisas, deixe claro que o Mensalão foi um esquema criminoso e um golpe contra o Legislativo enquanto o tal ""Orçamento Secreto"" é, no máximo, uma forma menos eficiente de alocar recursos.",121
Vai ser no primeiro minha querida em nome de Jesus :folded_hands:,1321
"Muito estranho porque a maioria dos governos e senadores apoiado pelo Bolsonaro estão ganhando e o Bolsonaro perdendo, MT estranho",1428
