text_content_anonymous,id
"Vamos tentar nesta semana convencer os isentos, disse isso o dia todo aqui. Vamos conversar com os vizinhos isentos. Com seus parentes isentos , com sua comadre e seu compadre isentos, seus amigos de trabalho, o rapaz do ônibus dentro de mansidão que é nossa. Vamos convencer a turma dos isentos e votarem nos candidatos da direita em.todas esferas , convença também a sua avó e seu avô, diga a eles que o voto deles representa a garantia de um futuro servil e sadio a nossa nação  e a nossa família. Hoje eu convenci a dois amigos que aceitaram meus argumentos, amanhã tentarei mais dois amigos, até domingo quero atingir pelo menos 10 isentos e atingir minha meta se cada um de nós fizermos esse trabalho atingiremos facilmente 20milhoes de votos e aí ganhamos com larga folga. Recorte na lista abaixo os candidatos do seu estado e depois de conversar com os isentos envie sua lista Santa de bons canditados apoiadores da da direita e do nosso amado PR Bolsonaro.  Abaixo a lista",102
Esse ai se ficasse ia acabar com a nação brasileira menos os babão dele,1333
A CASA CAIU!!!  OS NORDESTINO AGORA ESTÁ MOSTRANDO QUEM VAI COMER CAPIM.  INGUINORANTE DAS DESGRAÇA :Brazil::Brazil::Brazil::Brazil::Brazil:,2840
"Meu voro é seu, amigo. Deus abençoe seu esforço. Estou buscando ajudar...",815
Será que só o Xandão pode chamar luladrao de ladrão!!!,2600
"A cada 12% de apuração
Se lula sobe 1% e JB desce 0,5%> 

Então:

12% - JB 48%    L 42%
24% - JB 47,5% L 43%
36% - JB 47%    L 44%
48% - JB 46,5% L 45%
60% - JB 46%    L 46%
72% - JB 45,5% L 47%
84% - JB 45%    L 48%
96% - JB 44,5% L 49%

A  “fraude” está  acontecendo diante dos nossos olhos.
Acorda Brasil- mesmo modo operandi das eleições passada! MUITO ESTRANHO…",1500
"Desculpa o desabafo más gostaria q o Bolsonaro tivesse a coragem do ciro, do Roberto geferso,junto com com sua honestidade, Roberto geferso dizia tá na hora capitão, tá na hora capitão, o Olavo de Carvalho tbm avisou, eu acho que excesso de 4 linhas e orgulho e estrelismo Bolsonaro  entregou o país pro comunista. tinha que acionar 142",1539
"Claro, sou, você não sabe fazer uma análise pífia filosófica,  tão pouco hermenêutica e a palpiteira sou eu :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:",1556
":backhand_index_pointing_up: *A verdade é que Oposição e Imprensa estão assustados com a força do Presidente [USER]* 

*Em 2018 Bolsonaro não tinha base nenhuma no congresso, para 2023 o jogo mudou.*

*Nine e Dirceu deixaram claro que o foco era o Legislativo, perderam.*

*Não é hora de desanimar, foco total.*
:backhand_index_pointing_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands:
Canal
[USER]:Brazil:",1833
"Ih cara 
Quando vem com esse papo de bunda já sei que é petista viado",2229
":Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil:

Assista e entenda o porquê.   Provérbios 28:12 *Quando os bons alcançam o poder, todos festejam*; mas, quando o poder cai nas mãos dos maus, o povo se esconde de medo.

*Deus Acima De Todos*

*Deus Família Pátria Liberdade*

:Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil::Brazil:",1026
