text_content_anonymous,preconceito,num_tokens,Capacitismo,Gordofobia,Int.Religiosa,LGBTFobia,Misoginia,Xenofobia,Racismo,Hetarismo,Prec.Politico
"Gente acabou, infelizmente o povo escolheu o ladrão, e as forças armadas nada fizeram para defender a constituição federal e o presidente Jair Bolsonaro. O Brasil caiu de joelhos diante do comunismo.
O gigante foi o último até ao suspiro final. 
A imprensa que todos os dias massacrava o presidente Jair Bolsonaro, agora também está com os dias contados, os corruptos vão voltar com muita sede ao pote, afinal eles ficaram 4 anos sem poder roubar.",0,76,0,0,0,0,0,0,0,0,1
"ISSO TÁ ACONTECENDO EM TODOS OS GRUPOS DE DIREITA DO TELEGRAM, TWITTER",0,12,0,0,0,0,0,0,0,0,0
"Verdade isso mesmo? Ou passaram pra vc isso? Recebi um audio falando sobre, mas não acredito em audios! Não podemos espalhar fake! Acho improvável essa notícia sair de dentro da inteligência do exército! Eles sao muito cautelosos! Não caem em notícias espalhadas! A esquerda esta fazendo isso para que disseminamos fake news ! Isso pode atrapalhar campanha do Bolsonaro!",0,59,0,0,0,0,0,0,0,0,0
":Brazil::Israel:

*BUSQUEMOS DE CORPO ALMA E ESPÍRITO AQUELE QUE NÃO DESAMPARA ,AQUELES QUE O BUSCAM EM VERDADE!!*

:sheaf_of_rice::open_book::sheaf_of_rice:""Depois de muitos dias... continuavam gemendo debaixo da escravidão. Então clamaram, e o seu clamor ... subiu a Deus.
Ouvindo os gemidos deles, Deus lembrou-se de sua ALIANÇA...:sheaf_of_rice::open_book::sheaf_of_rice: (Êxodo 2:23-24)
:eight-spoked_asterisk:Problemas e dificuldades antigos, que parecem sem solução, requerem a busca da face d'Aquele que tudo pode resolver.
Note que o texto faz menção à pessoas que tinham uma aliança com Deus, mas que deixaram de o buscar. Isso não invalidou a aliança, mas a contrapartida deixou de ocorrer!!
*O socorro veio ao povo escolhido, quando voltaram-se a Deus em oração.* Hoje não é diferente.h
:eight-spoked_asterisk:Ele vê a nossa luta, mas aguarda que o busquemos, para agir em nosso favor.
*Voltemo-nos à Ele!!* Bom dia!!:raising_hands::Brazil:",0,132,0,0,1,0,0,0,0,0,1
"A esquerda quer colocar o Alkimin no poder eles sabem  que o Lula não vai ficar muito tempo.E o Alkimin é NOM . O golpe deles é esse. Acham que se o Alkimin assumir o povo vai ficar quieto e aceitar.Mas o povão a muito tempo tá acordado.Quando Maduro assumido o exército de lá não fez nada o povo tá apavorado em virar aqui uma Venezuela. O brasileiro não é como eles estão pensando o povo aqui não vai aceitar comer seus cachorros e gatos. Nós somos mestiços do mundo todo, será como brigar com pessoas de todo o mundo. O brasileiro acuado se torna perigoso. Os esquerdistas e  a NOM  não fazem idéia do povo do Brasil",0,118,0,0,0,0,0,0,0,0,0
"Bom dia   

        
""Clama a mim, e responder-te-ei, e anunciar-te-ei coisas grandes e firmes que não sabes."" (Jeremias:33:3):raising_hands_light_skin_tone:

Deus quer que nós O busquemos e clamemos por Ele. Ele quer nos responder e nos contar coisas além da compreensão humana. Ele anseia chegar mais perto de nós para que possamos conhecê-lo. Como uma criança amedrontada chama um pai amoroso no quarto ao lado, nós também podemos chamá-lo, sabendo que nosso Pai nos responderá, nos protegerá e nos confortará. Mais do que isso, nosso Pai nos revelará coisas que seriam impossíveis nós sabermos sem a graça dele.",0,95,0,0,1,0,1,0,0,0,1
"Olá, tudo bem com você? Eu gostaria muito de te pedir um grande favor.

*Temos uma estratégia para conseguir mais votos para o nosso Presidente Bolsonaro.*

Existe um número enorme de pessoas que não votaram por diversos motivos.
Você conseguiria trazer ao menos três pessoas para votar no Presidente Bolsonaro? 

Também existem um alto número de pessoas que votaram em outros candidatos.
 Você conseguiria trazer ao menos um para votar em Bolsonaro? 

Ainda existem aqueles que votaram em branco ou anularam o voto. 
Você conseguiria trazer ao menos dois desses votos? 

E por último, compartilhe essa mensagem para ao menos 5 pessoas/grupos e assim alcançaremos o número de votos necessários para garantir a reeleição do Presidente Bolsonaro.
*Posso contar com você?*",0,121,0,1,0,0,0,0,1,0,0
"Sim. É estranho. E não é todo mundo que quer ver o ladrão. E sim, deve ter entrado pela janela.",0,20,0,0,0,0,0,1,0,0,1
"Muito obrigado pelo seu feedback, parabéns, continue fazendo negócios com você, muito obrigado por confiar em mim. Deus te abençoe, desejo que você venha mais
[USER]",0,26,0,0,1,0,0,0,0,0,1
Este grupo é de esquerda ou direita? Alguém pode me responder?,0,11,0,0,0,0,0,0,0,0,0
"Expulsar quem entrou nos últimos 10 dias esta errado, muitos bolsonaristas também entraram nos últimos 10 dias, temos que banir quem esta postando materiais aqui com intenções de desmobilizar a campanha do nosso presidente BOLSONARO. Postou toma ban",0,38,0,0,1,0,0,0,0,0,0
O atentado contra o Tarcisio deixa claro que em alguns locais candidatos e Poder Público só entram se o crime organizado deixar. Flavia Ferronato,0,24,0,0,0,0,0,0,1,0,0
"Se quiser entender coisas que aconteceram no Governo Federal para esplicar aos incrédulos assista esta live
Deus abençoe a Nação :Brazil::backhand_index_pointing_down::backhand_index_pointing_up:",0,21,0,0,1,0,1,0,0,0,1
Engraçado tem gente que não gosta de fala de Deus parece que dói os ouvidos aí que dita regra no grupo dos outros :thinking_face::shushing_face::woman_facepalming_medium-light_skin_tone:,0,24,0,0,1,0,0,0,0,0,1
"Daniel Silveira , Allan dos Santos,  Roberto Jefferson,  Sara winter,  Jornalista Macedo ,Osvaldo Eustaquio etc amanhã será qualquer  um",0,19,0,0,1,0,0,0,0,0,0
"Fortalecei as mãos fracas, e firmai os joelhos trementes. Dizei aos turbados de coração: Sede fortes, não temais; eis que o vosso Deus virá com vingança, com recompensa de Deus; ele virá, e vos salvará.

Isaías 35:3,4",0,37,0,0,1,0,0,0,0,0,1
"Não caiam em narrativa de ESQUERDISTA

VAMOS VOTAR PATRIOTAS :Brazil::keycap_2::keycap_2::Brazil:
DANIEL SILVEIRA :keycap_1::keycap_4::keycap_2:",0,13,0,0,0,0,0,0,0,0,1
"PESSOAL tenho visto nas listas, ou fora delas em indicações para esse grupo candidatos de esquerda e e trema esquerda. Sempre alguém do grupo avisa. Vi outro SARTORI 7007 P DEP. FEDERAL. PARTIDOS DE ESQUERDA SÃO OPOSICAO AO GOVERNO. NAO VOTEM NESSES CANDIDATOS.",0,43,0,0,0,0,0,0,0,0,0
"Confira o antes e o depois do preenchimento labial :mouth:

Ficou tão natural, amamos :star-struck::heart_hands: 

Quer fazer o seu também? :syringe: Fala com a gente :blue_heart:

Villa 48
Clínica de Odontologia, Saúde e Estética
CRO-PE CL 969

Rua. Rad. Amarílio Nicéas, 48 - Santo Amaro, Recife-PE, 50040-040

(81) 9.9999-0012 
[PHONE]

#odontologia #dentista #saúde  #pele #cuidadoscomapele #dicadentista #dentistarecife #odontologia
#villa48 #dicas #dicasdentista #implantedentario #preenchimentolabial",0,63,0,0,1,0,0,0,1,0,0
"Aqui nesse grupo mesmo ,tem um monte de lulista que estão vendo a gente postar fatos sobre o lula todos os dias e mesmo assim continuam cegos e querem nos afundar e nos levar a viver o inferno na terra juntamente com eles , se esse ditador autoritário ganhar",0,49,1,0,1,0,0,0,0,0,1
":warning::warning::warning::warning::warning::warning::warning::warning::warning::warning:
Este Grupo é Lulista.  

Este grupo não tem adm é um grupo criado pela esquerda para pegar seus dados e atrapalhar a reeleição do nosso presidente BOLSONARO .


:warning::warning::warning:ATENÇÃO :warning::warning::warning:

ESSE GRUPO É FAKE NÃO É PRO BOLSONARO, ESTÃO AQUI PARA DIFAMAR O NOSSO PRESIDENTE  E DESINFORMAR OS CONSERVADORES, PEÇO QUE COPIE E COLE ESTA MENSAGEM AQUI NOVAMENTE E SAIA IMEDIATAMENTE DESTE GRUPO




:check_mark_button::backhand_index_pointing_right: Acompanhe o presidente BOLSONARO no canal oficial 

A ESQUERDA ESTA FAZENDO VÁRIOS GRUPOS FAKES NEWS
SEM ADMINISTRADOR

Sempre são os mesmos falando que estão desiludidos com o Bolsonaro. Esses lulistas jamais ficarão desiludidos, pois depois de toda corrupção que Lula  cometeu no Brasil, continuam lambendo botas para ele. :face_screaming_in_fear: 


Maria Rita Alves vote nulo mesmo. Um voto a menos para o Lula",0,127,0,0,0,0,0,0,1,0,1
"______

Está escrito na palavra de Deus, o Senhor dos céus e da terra.

 PROVÉRBIOS o Livro da Sabedoria 






O governante sem discernimento
aumenta as opressões,
 mas os que odeiam o ganho desonesto
prolongarão o seu governo .






Está escrito em Provérbios 28:16 Bíblia Sagrada

_______",0,46,0,0,1,0,0,0,0,0,1
"Isso é narrativa. Papinho de esquerda.
Olhe o trabalho do Zema em MG.
Os Novo é o melhor partido no ranking dos políticos de Brasília.

Sem papinho de esquerda.

Vc votar no PL cara. Olga pra onde foi o PSL.

Cita fatos...",0,42,0,0,0,0,0,0,0,0,0
"olha esse difícil acreditar que alguém engula essa. Só sendo idiota pra acreditar nisso, gente. Fala Sério",0,17,1,0,0,0,0,0,0,0,0
"Marcelo aqui empresários da Agroindústria já decidem não comprar mais produção do nordeste para beneficiar. O  Agronegócio se organiza para parar o país caso ocorram novas fraudes nos Estados, pois não há coerência de votos onde foram eleitos senadores e deputados do partido do nosso governo, além da sincronização dos votos no nordeste e foi por lá que o molusco ultrapassou os votos de Bolsonaro, região Nordeste dominada por governadores da esquerda criminosa socialista.
Agronegócio e Caminhoneiros dispostos a parar este país caso ocorra novamente no dia 30 de outubro o que presenciamos neste dia 02. :Brazil::green_heart::yellow_heart::white_heart::blue_heart: NUNCA PERMITIREMOS QUE A MALDITA ESQUERDA RETORNE AO PODER.",0,106,0,0,0,0,0,0,0,0,1
Aqui e espada de sao judas Tadeu o judas bom nao o judas mal qui matou cristo o judas correto e servente a deus ele disse a benjamin me eis me aqui acuda e vou me embora e sigo seu caminho reto em cristo nosso senhor,0,46,0,0,1,0,0,0,0,0,1
Na política brasileira todos se ajoelharam no deserto em troca de poder. Tanto a esquerda quando a direita não trabalham para O SENHOR JESUS CRISTO.,0,25,0,0,0,0,0,0,0,0,0
Esses juízes estão bem desocupados heim... até em loja. Meu Deus.,0,11,0,0,1,0,0,0,0,0,1
"Não tenham medo deles. O Senhor, o seu Deus, é quem lutará por vocês.
Deuteronômio 3:22 :Brazil::Brazil::Brazil::Brazil::Brazil::Brazil:",0,17,0,0,1,0,0,0,0,0,1
"Quem não tiver o conhecimento das coisas que está acontecendo e do que está por vim, vai acreditar fácil fácil na ilusão, lamentável toda essa situação, que Deus nos proteja de todo mal, amém :folded_hands:",0,35,0,0,1,0,1,0,0,0,1
Fazem uma montagem porca e ainda acham que estão lacrando... kkkkkkkk,0,11,0,1,0,0,0,0,0,0,0
"Os Covardes, serão cobrado no dia do Julgamento,, não seja um JUDAS",0,12,0,0,0,0,0,0,0,0,0
"Oração

Deus, não há ninguém além de Ti. Tu és o único que é santo e digno do meu louvor. Obrigado por ser minha Rocha e a base firme sobre a qual posso construir minha vida. Sou grato porque Tu és sempre fiel, nunca mudas e Aquele em quem posso confiar. Eu te amo e desejo sempre ser digno de Seu amor! Em nome de Jesus, amém.


:menorah: Isaías 6:3
... Santo, Santo, Santo é o SENHOR dos Exércitos; toda a terra está cheia da Sua glória.",0,87,0,1,1,0,0,0,0,0,1
"Nova Zelândia :New_Zealand:: O partido da PM
J. Ardern foi o grande derrotado nas eleições municipais na Nova Zelândia.

Candidatos do partido conservador venceram a eleição para prefeito em Auckland, Christchurch, Invercargill e Rotorua.
Em Wellington o prefeito eleito é do partido verde.",0,43,0,0,0,0,1,0,0,1,1
"CANDIDATOS CEARÁ 

PRESIDENTE:  Bolsonaro : 22
Governador: Capitão Wagner  : 44
SENADOR:  Kamila Cardoso : 700

DEPUTADOS FEDERAIS

Coronel Agnaldo( BOPE) : 2210
( esposo Carla Zambelli)

Regina Vilela 

André Fernandes: 2222

Delegado Cavalcanti : 2201

DEPUTADO ESTADUAL

. Carmelo Neto : 22022

Alcides Fernandes: 22222

David Proarmas. : 22556

Eliene Gomes : 22789

Lista atualizada em 31/ 08
22:00 h


Quem tiver mais candidatos pela liberdade e Bolsonarista favor avisar para atualização da lista",0,75,0,0,0,0,0,0,0,0,1
":cross_mark: SAIAM DESTE GRUPO, POIS ELE É DE ESQUERDA E FOI MONTADO PARA DIFAMAR O PRESIDENTE, PEGAR SEUS COMPROVANTES E USAR NA FRAUDE NO SEGUNDO TURNO:cross_mark:

:fire: EU JA FUZ UM B.O E VOCES DEVIAM FAZER O MESMO CONTRA ESSES BANDIDOS :fire::fire::fire::fire::fire::fire::ogre::goblin::ogre::goblin::ogre::goblin::ogre:",0,42,0,0,0,0,0,0,0,0,0
Ele seu herói Salvador? A direito e pior ainda pois usa Deus pátria família? Aonde Está isso nas escrituras sagradas.. 2020 os portais foram abertos não existi mais misericórdia somente a graça nós eleitos.. Daniel 12 aquele rapz vai destruí 99% da humanidade.,0,43,0,0,1,0,0,0,0,0,1
"Mas ele está registrado nas urnas, então é para votar. O presidente não deu preferência não ele disse que algum dos 3 candidatos poderia desistir mas não citou nome. Vamos esclarecer as coisas de maneira correta. (Live de ontem).",0,39,0,0,0,0,1,0,1,0,0
"Até o mi-mi-mi da esquerda é falso, desproporcional e teatral.

Estão se passando por cristão arrependido, com a narrativa de que Bolsonaro é da maçonaria.

 A verdade é que Bolsonaro visitou uma loja da Maçonaria em 2017 para uma palestra, mas não é Maçon e sim católico. E ai pegaram a foto original de má fé para fazer montagem incluindo símbolos supostamente satânicos nas paredes.

Psicopatas fingem sentimentos e como não tem noção da realidade exageram com intuito de convencer os outros a qualquer custo. E assim fica fácil identificar esse tipo de atuação.

Estamos cansados de manipulação, jogo sujo e tantas mentiras.

E certo é que a verdade vencerá a mentiras e que Bolsonaro será reeleito no segundo turno e assim o Brasil continuará crescendo e prosperando cada vez mais.
:Brazil::Brazil::Brazil::Brazil::Brazil::clapping_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands::dove::dove::dove::dove::dove:

Siga no Telegram [USER]",0,136,0,0,0,0,0,0,1,0,0
"Verdade e se o povo de direita não pressionar o TSe STF quanto a isso aí que eles vão fazer mesmo.vejo muito medo da direita de marcar os contatos desses ""juízes"" pra cobrar a mesma coisa que sejam imparciais",0,39,0,0,0,0,0,0,0,0,0
"Demonios mostrando quem são . Deus no controle de tudo Salmos 23-91-121 
#Bolsonaro2022",0,13,0,0,1,0,0,0,0,0,1
"SOMOS 11K

""Tudo o que fizerem, seja em palavra seja em ação, façam-no em nome do Senhor Jesus, dando por meio dele graças a Deus Pai."" COLOSSENSES 3:17


A DEUS TODO PODEROSO, SEJA DADA A HONRA, GLÓRIA E LOUVOR!


MAIS UMA VEZ, NOSSO FUNDADOR CRUZADO, AGRADECE E LOUVA A DEUS POR TODOS VOCÊS QUE SE INCREVERAM AQUI!

MESMO DIANTE DESSE CENÁRIO DE BATALHA, NÃO VAMOS DEIXAR DE SENTIR A GRATIDÃO DE DEUS E HONRAR AO ÚNICO E SOBERANO DEUS.

NÓS, CORPO DE ADMS DO CANAL, AGRADECEMOS PRIMEIRAMENTE À DEUS E A VOCÊS PATRIOTAS BRASILEIROS.

CONTINUEMOS A INFORMAR CADA DETALHE NO QUE FOR POSSÍVEL!

MUITO OBRIGADO A CADA UM:Brazil::Brazil::Brazil::Brazil:

Visitem nosso canal: [USER]",0,112,0,0,1,0,0,0,0,0,1
Temos que t muito cuidado com o que e postado nas redes para não nos contaminar pois o objetivo da esquerda e tira voto  do 22 e eles vão joga com todas as armas,0,34,0,0,0,0,0,0,0,0,0
"( Mateus 27 : 21e 22 )
21 - E , respondendo o presidente , disse-lhes : Qual desses dois quereis que eu solte ? E eles disseram : Barrabás.
22 - Disse-lhes Pilatos : Que farei então de JESUS , chamado CRISTO ? Disseram-lhe todos : Seja crucificado. 

Visitem nosso canal :
[USER]",0,54,0,0,0,0,0,0,0,0,0
"Oi, Paula!


 Eu sou católica,  moro no bairro de judeus, cheio de comunista,  Higienópolis,  vi de tudo nas ruas,   votei na Faculdade Osvaldo Cruz ,Barra Funda,  tinha um monte de mortadelas elitizados nos bares com símbolos satânicos votando no Molusco, ... achei estranho a urna biométrica como o meu irmão,  como confiar no TSE, STF,STJ, sistema tecnológico?

Eu sabia que iria dar nisso.

O que fiquei muito triste na missa gente com blusa vermelha,  refutei com o padre comunista,ex- amigo da minha família,  Judas Iscariotes,  nunca mais pisarem lá. 

A gente rezando o rosário,  um deles apoiando o comunismo, meti o pau nele, refutei com marxismo cultural,  Foro de São Paulo, Nom, ONU, Ursal, gramicismo cultural, Escola de Frankfurt,  COMUNA DE PARIS,  Teologia da Libertação é  excomungado automaticamente pela verdadeira igreja, encíclica do Papa Pio II, cristão não pode votar na cartilha de Lênin,  genocida.",0,145,0,1,1,0,0,1,0,0,1
Meu Deus o que é isso irmãos!!! Fiquei em choque com isso!! Deus nos abençoe e nos livres desse mal!!! Não podemos deixar legalizar isso nunca!!! Nada justifica!!!!,0,28,0,0,1,0,0,0,0,0,1
"O Lula defende da saúde pública fazer aborto, defende a legalização de drogas, defende criminosos como se o cidadão de bem fosse o culpado, defende invasão de propriedades privadas rurais e urbanas, defende ideologia de gênero ensinada a crianças desde a infância, é contra a classe média por ostentar mais de uma TV em casa enquanto ele vive numa vida de luxo (casamento com gastos de 500 mil reais, relógio de pulso de 80 mil reais, vive numa mansão de 20 mil reais de aluguel por mês, toma vinhos de 5 mil reais ou mais a garrafa), contra privatizações,  e tudo mais de ruim para a população além da comprovada corrupção sistêmica de quando o PT governou o país com desvio de mais de trilhão de reais (só para países do foro de São Paulo foram 50 bilhões de reais).",0,140,0,0,0,0,0,0,1,0,0
"o povo tem que continuar a fazer a sua parte, para a finalidade de legitimar as ações das autoridades. e basta votar, e pedir votos dos indecisos, claro. faça sua parte.",0,31,0,0,0,0,0,0,1,0,0
"Já falaram que esse áudio é do Daniel Silveira, do Flávio Bolsonaro e agora vejo Eduardo Bolsonaro... Daqui a pouco vão dizer que é do Carlos Bolsonaro....
E se fosse de um outro cidadão?
Enfim, não estou falado de você que compartilhou a informação, mas apenas esclarecendo para os outros para não ficarem repassando esse áudio dizendo que é de filando ou beltrano... Apenas repassem o áudio!",0,67,0,0,0,0,0,0,0,0,0
Pessoal não acreditem nestas postagens da esquerda estão fazendo terrorismo e tirar o nosso foco que é reeleger o nosso capitão Bolsonaro 22,0,23,0,0,0,0,0,0,0,0,0
"Quando Deus tem promessas
Pra executar na vida da gente
Vai além do natural, é algo fenomenal
É inédito, surpreendente, meu Deus vai cumprir
Vão jogar pesado, vão forjar boatos
Vão tentar fazer verdades virar ficção
Pra fazer com que os projetos de Deus
Nunca saiam do chão, mas Deus vai cumprir
Se foi Deus que falou, está falado e pronto
Nem o inferno inteiro invalidará
Não há sepultamento pras promessas dele
Que passe céus e terra, ele cumprirá",0,79,0,1,1,0,0,0,0,0,1
Vou sair do  GRUPO pq não tem sentido tanta mentira.  SE FOR DA VONTADE DE DEUS O NOSSO PRESIDENTE  JAIR Messias Bolsonario permanece !!!A Vitória é Nossa pelo SANGUE DE JESUS  !!! Vamos Orar Deus Salve o Brasil :Brazil:  :Brazil:,0,40,0,0,1,0,0,0,0,0,1
"______

Está escrito na palavra de Deus, o Senhor dos céus e da terra.


O Profeta Isaías 







Ele fortalece o cansado
e dá grande vigor ao que está sem forças. 

Até os jovens se cansam
e ficam exaustos,
e os moços tropeçam e caem;

mas aqueles que esperam no Senhor renovam as suas forças.

Voam alto como águias;
correm e não ficam exaustos,
andam e não se cansam.







Está escrito em Isaías 40:29-31 Bíblia Sagrada

______",0,76,0,0,1,0,0,0,0,0,1
"Vdd
Acho q o Lula não ganhou no primeiro turno porque o tal algoritmo  (óbvio até para estudantes) não conseguiu esconder  / reverter a quantidade enorme de excesso  votos que o capitão teve  !!!!!",0,34,0,1,0,0,0,0,0,0,0
O DIABO NÃO É LADRÃO. É BANDIDO MESMO NA CLASSE MARGINALIZADA,0,11,0,0,1,0,0,0,0,0,1
":smiling_face_with_hearts: o bem ninguém e o maus chega rapidão pelo ladrão 

as quatro linhas da razão buscam a justiça, a piedade a fé o respeito e é perseverante na mansidão, o cristã-o leva liberdade ao oprimido, mas o cativo ama o cativeiro 

o talentoso é empreendedor e tudo o que faz gera prosperidade e, as máscaras caem, veem lobos hipócritas assinando com a sinistra a própria execução, como na época de noé, casam e se dão em casamentos 

não se engane, a iniquidade prostitui e culpa gente direita pelo caminho ruim, a desumanidade prefere o laboratório teórico longe da realidade, os sinais da volta profetizado 

:flushed_face::backhand_index_pointing_right_light_skin_tone::Brazil::Brazil::Brazil::Israel::raising_hands:",0,106,0,0,0,0,0,0,1,0,1
"Meu Deus do céu 
Eu sempre vou dizer que isso que fazem com as  crianças é monstruoso são atos de gente maligna",0,22,0,0,1,0,0,0,0,0,1
