text_content_anonymous,preconceito,id,rotulo_chatgpt
"Bom dia   

        
""Clama a mim, e responder-te-ei, e anunciar-te-ei coisas grandes e firmes que não sabes."" (Jeremias:33:3):raising_hands_light_skin_tone:

Deus quer que nós O busquemos e clamemos por Ele. Ele quer nos responder e nos contar coisas além da compreensão humana. Ele anseia chegar mais perto de nós para que possamos conhecê-lo. Como uma criança amedrontada chama um pai amoroso no quarto ao lado, nós também podemos chamá-lo, sabendo que nosso Pai nos responderá, nos protegerá e nos confortará. Mais do que isso, nosso Pai nos revelará coisas que seriam impossíveis nós sabermos sem a graça dele.",0,15,0
É um tapa na cara do povo de Deus agora daqui pra frente sabem se separar deste satanistas não se misturar com eles estás festa onde satanás que está no controle nos o povo de Deus nem temos que estar bares bagunça porque doq adianta ficar aí falando de Deus e viver o mundão,1,1871,1
"Com certeza não é legal. O importante é que o presidente não se envolva agora. Depois veremos no que isso vai dá. De uma forma ou de outra é culpa do Ladrão. Se foi uma reação espontânea do Jefferson ou se é combinado com a esquerda, sempre tem o dedo do Luladrão.",1,1850,1
"ESSE CANAL É DOS PATRIOTAS OU DO COMUNISTAS , FILHA DA PUTA",1,2483,1
Tem que travar a economia do Brasil para que os ratos saim do poder nós que fazemos a economia girar e vocês acham que os empresários vão investir a qui se for comunista nunca nani vai acabar com todos os nossos empregos quem tem não vai ter por que dependemos do empresários do país para que gerem em prego Povo trabalhador mais perder umas dias de serviço que o resto da vida escravo da esquerda e passando fome e comendo cachorro não é o futuro que você deseja né em tão não retroceder já mais agora é um revolução patriótica sem violência. O mundo tem que ver que o Brasil não aceita mais corrupção impunidade divisão injustiça e falta de caráter povo hora é só está e nada mais ou recuperamos o nosso Brasil ou perdemos tudo. O Egito precisou de 18 dias para derrubar um ditador de 30 anos muitos morreram mais não desistiu e não vai durar para sempre a manifestação nas ruas mais continuar sem seçar para que possamos recuperar o que é nosso por direito.,0,1401,1
KD o relógio de oração pelo Brasil? A C O R D A     povo de Deus! 2 Crônicas 7:14.,0,240,0
"E as mãe que choram por ter perdido seus filhos na pandemia por culpa de decisões que deveria ser tomada e por desumanidade seu presidente não tomou e morreram muitos por conta disso !!! Ficarmos órfãos, pais chorando a morte de Deus filhos, avós famílias de luto ainda",0,588,1
"Como se tudo tivesse ocorrido dentro da normalidade, ou país sem memória! A maior falcatrua eleitoral bem ali e já agem como se não houvesse nada de anormal, gente acordem por favor, saiam deste teatro politiqueiro, ou nunca seremos respeitados como povo, caramba gente! Q quer isto?",0,1325,1
Ja ganhei voto de dois isentoes 1 na padaria e outro lavando a calçada. Eles não são resistente como os esquerdista. Estão com medo do satanismo. Tem que falar com pessoas na rua. E aí convidei para entrar em um grupo do ZAP para a pessoa se manter informada. Os isentoes não estão aqui nos grupos o trabalho está lá Fora. Bora trabalhar patriotas.,1,2966,1
"_________

Está escrito na palavra de Deus, o Senhor dos céus e da terra.

Apóstolo Paulo servo de Jesus Cristo o Filho de Deus 









Tudo o que fizerem, façam de todo o coração, como para o Senhor, e não para os homens,










Está escrito em Colossenses 3:23 Bíblia Sagrada

_________",0,1004,0
"Gentem, tô precisando daquele vídeo do satanista, com a foto do Lula num círculo de sal... Tive a ideia de mandar pra uns petistas 'tementes a Deus' q eu conheço. Acho q vai surtir mais efeito do q falar bem do presidente.
Alguém, please?",1,1842,1
Nordestino tudo safado tem que mandar embora do pais odeio passa fome la depois vem passa fome aqui gente feia voz feia se eu tivesse tentando dormir nesse onibus eu dava paulada num pau de arara desse,1,1771,1
"Tira o fundo branco clica naquele T que tem no lado aí aparece a opção
E coloca a cor",0,1261,0
Cuidado com essa CANALHADA CORRUPTA ESQUERDOPATA.  ESSA CORJA É CAPAZ DE TUDO.,1,2311,1
"Vamos orar. Deus pode tudo. Se esse homem é enviado de Deus, estamos pra testemunhar algo grande. Não esqueça do exército de senaqueribe que morreu. Isaías 37:36-38. Vamos ter fé.",0,1281,0
"Uma coisa q não se deram conta ainda, q essa eleição foi uma vitória….

Independente do resultado do segundo turno, a esquerda foi pisoteada nessas eleições.

Nunca antes nosso voto fez tanto por um Brasil próspero.

Hoje a nossa nação debate mais política do que futebol.
O processo de transformação ja se iniciou.

Fomos emburrecidos por mais de 30 anos. Porém, a venda caiu.

A direita finalmente esta se levantando na nossa nação.

Frequento o 7 de setembro desde a minha infância, e nunca vi tantas pessoas, aliás, tantos patriotas.

Nosso trabalho tem q ser incansável e constante.
Não podemos nos dar ao luxo de relaxar, pois aqueles q não querem o bem do Brasil, não vão descansar.

Precisamos estar sempre alertas.",1,1692,0
"Estão inventando mentiras contra o nosso Presidente Bolsonaro, eles estão desesperados, será que vocês não estão vendo? A farsa da esquerdalha caiu.",1,1853,1
":Japanese_symbol_for_beginner: Deus viu ; ele foi ignorado,desprezado rejeitado pelo seu opositores vilipendiado mas contudo em seu coração havia uma chama,havia um desejo de transformar um Brasil melhor para todos,até para aqueles que se opuseram contra ele.
:Japanese_symbol_for_beginner:Jair Messias bolsonaro não é extrema direita é extrema necessidade para a salvação e liberdade de uma nação chamada Brasil:Japanese_symbol_for_beginner:
JUNTE-SE A NÓS TAMBÉM E 
MANTENHA-SE INFORMADO :brain:
:Brazil:Clique no link: ➘  ➘  ➘
╰─►Canal [USER]
                               ",0,1419,1
"O PP mal salva dois, o resto é tudo esquerdista. Votar nesse candidato vai ajudar à eleger esses péssimos candidatos.",0,203,1
Não é comunista. É manipulação dos menos escolarizados. Muita gente não se instrui acerca dos perigos da esquerda,1,2200,0
"Querido Deus, sempre fico maravilhado e cheio de alegria, quando penso em quão grande é o Teu amor por mim e todos neste mundo. É por causa do Teu amor, ó Deus, eu sei que tudo ficará bem. Em verdade, Tu és um Bom Pai. Eu sempre serei grato a Ti pelo Teu amor, Senhor. Em nome de Jesus, oro. Amém.",0,497,0
":backhand_index_pointing_up_light_skin_tone:Para acalmar os ânimos e focar na Missão dada pelo Capitão - que é de converter votos e convocar faltosos.

Está é a live do PR, agora há pouco. O primeiro momento começou com a apresentação e comentário sobre o gráfico de evolução da votação. 

Aí pergunto, se Bolsonaro está mostrando isso, que impacta a eleição dele mesmo, você acha mesmo que, tendo as mais brilhantes mentes do país a seu lado, eles não estão ""fazendo nada""? Eles não notaram ""nada""? 

Vamos cuidar do que podemos e deixar assuntos bem mais complexos com quem tem condição de resolver!
Claro que podemos e devemos guardar possíveis evidências. Podemos até encaminhar ao partido. 

Mas agora, vamos nos concentrar em converter votos e ficar de prontidão!
Se preciso for, mostraremos nosso apoio nas ruas, tão logo a corneta tocar! 
:raising_hands_light_skin_tone::oncoming_fist_light_skin_tone::Brazil:",0,67,0
":Brazil:SE NÃO QUEREMOS VIVER SOB A TIRANIA DA ESQUERDA, HOJE MAIS SOCIALISTA , PRECISAMOS NOS ATER PARA ALGUMAS DE SUAS PAUTAS:
-Legalização das Drogas 
-Legalização do Aborto
-Ideologia de Gênero e Sexualização nas Escolas à partir dos 6 anos de idade.
-Fechamento de Igrejas (o cristianismo fortalece à luta contra ditaduras)
-Doutrinação do Socialismo por professores nas Escolas e Universidades 
-Vacina da Covid será obrigatória.
-Risco de perda da Propriedade Privada 
-Incentivo à Invasões de Terras pelo MST e à Residências temporariamente não ocupadas. 
Soltura de Presos de menores delitos, mas também de Traficantes
-Permissão de outros Governos na Amazônia para extração de nossas riquezas
-Financiamento de Governos Comunistas da América Latina
NÃO SAIAM DA FRENTE DOS QUARTÉIS!:thumbs_up::Brazil::folded_hands:",1,2078,1
"Ministro da Educação, Victor Godoy, nega corte no orçamento de universidades e diz que bloqueio só ""redistribui despesas""

Fonte: BDM

:small_orange_diamond: t.me/alexeconomia",0,528,0
"Bora lá canvecer os que não votaram é uma obrigação nossa, hoje eu consegui trazer duas pessoas de volta pra DEUS"" até lá uns 10 votos vou garantir",0,1178,1
"Não deixe o mal usar os obstáculos para criar quadros negativos em sua imaginação. Olhe os obstáculos como etapas do plano de Deus para sua vida. Aprenda com as dificuldades. Traga diariamente a sua lembrança, o fato que nada pode frustrar os planos de Deus. Lembre-se do encorajamento registrado em Jó 42.2: “Sei que podes fazer todas as coisas; nenhum dos teus planos pode ser frustrado.” Acredita, Deus não perde o controle de nada!
Bom dia - Deus te abençoe 
[USER]",0,715,1
"E outra eu já fui a um casamento na maçonaria.E fui bati foto e vim embora.E que a esquerda não quer trabalhar e o lula dava 80,00 reais de auxílio e hoje nosso presidente da 600,00 em três anos foi 8 vezes mais....A minha faxina juntou dois meses e comprou um celular melhor que o meu.Eu acho normal .você faz o quer com o dinheiro.Agora me dizer que povo está passando fome!!! Não existe fome no Brasil.Existe pessoas descansado como eu era.Mas um  pessoa que eu chamo de anjo me salvou .",1,2476,1
"Agora, imaginem vcs a mobilização q Bolso tinha em 2018 aqui com a mobilização desse ano. Como ele só teve  3% a mais de votos?


Na seção q trabalho, toda eleição só eu de direita, hj, dos 4 mesarios, só 1 votou no ladrão.

Em todas as seções da FBV, toda eleição a esquerda vence de lavada. Hj, o ladrão ganhou apertado lá, diferença de 30
40 votos, em algumas, Bolsonaro até ganhou.
 
A fraude foi muita num foi pouca não!!!!

Eu vi os petista mesarios tudo saindo triste hj de lá",1,2656,1
":warning:SEGUINTE 
TODO MUNDO PRAS RUAS, AMANHÃ NÃO ARREDEM OS PÉS.
O BRASIL É NOSSO, NOSSO!
ESTAMOS NUMA GUERRA, ENTRE ÀS TREVAS E A LUZ
NOSSOS FILHOS NETOS DEPENDEM DE NÓS. 
ENTÃO LEVANTEM ESSE RABITO DO SOFÁ CADEIRA,  VAMOS DEFENDER NOSSA NAÇÃO!
NÃO FIQUEM SÓ ESPERANDO PELOS.OUTROS.
OS ESQUERDISTAS COMUNISTAS, VÃO DESTRUIR TUDO QUE ESTAMOS CONSTRUINDO.
OU VCS.ARREGASSAM AS MANGAS,
OU AMANHÃ SEUS FILHOS NETOS VÃO ESTÁ COMENDO LIXO,E SUAS EMPRESAS, FECHADAS,TERRAS TOMADAS E DESTRUIDAS.
E VÃO PRINCIPALMENTE TENTAR DESTRUIR À SUA FÉ, RELIGIÃO, 
E VCS NÃO PODERÃO MAIS ADORAR A DEUS!
VCS NÃO ESTARÃO SOZINHOS(AS)
O SENHOR ESTARÁ NA FRENTE,E SEUS EXÉRCITOS DE ANJOS.
CONFIEM EM DEUS! E CLAMEM A ELE DE TODO SEU CORAÇÃO.:folded_hands::raising_hands::Brazil::Israel:",1,1549,1
"Mário Frias e Ricardo Sales também são necessários como Deputados  Federais :Brazil::green_heart::yellow_heart::folded_hands::clapping_hands::clapping_hands::clapping_hands::clapping_hands: Muita gente boa .Graças a Deus os bons se levantaram. Primeira eleição da minha vida que fico procurando pessoas para mostrar o porquê esses candidatos precisam ser eleitos porque de fato irão nos dar voz  e ajudar. Como jáo fazem hoje !!!! Gratidão,  à todos esses homens e mulheres  que Deus levantou qur irão certamente ajudar o nosso exército do bem, junto do povo de bem, a redirecionarmos o Brasil para os trilhos certos  !!!! Gratidão  :folded_hands::Brazil::yellow_heart::green_heart:",0,858,1
DANIEL SILVEIRA DEVE SER O SENADOR MAIS VOTADO DO BRASIL E PARA ISTO VOCÊ DEVE ENTENDER QUE É O UNICO QUE VAI MOSTRAR PARA OS SRS. DITADORES . QUE NÓS NÃO ACEITAMOS DITADURA DA TOGA NO BRASIL. DANIEL SILVEIRA O SENADOR MAIS VOTADO DO BRASIL !!!,0,107,1
Parem de postar grupo quem montou foi a esquerda . Se informem,0,350,1
"Gente se as eleições  foram  ou não  foram  limpas?
Porque  até agora eu não ouvir  e nem vir o  presidente bolsonaro  alegar isso que é  autoridade  máxima.
Por isso não tem  sentido  esses atos  de desordens. é claro  que é muito triste  e vergonhoso  o nosso país ser governado por um ex-condenado,mas isso é  uma democracia.
Tem ser respeitado  os resultados  das urnas...!!",0,163,0
meu Deus são rastros de nação ainda adorando os deuses romanos em uma nação que se diz Judeia,0,654,0
"O que é o Foro de São Paulo senão uma fonte de mentirosos, enganadores e altos traidores do Regime Democrático vigente. Atentar contra a regime é crime, o que se deve estranhar é o silêncio de todos, a falta de atitudes, a não aplicação da lei 9.096/95 que exige cassação dos partidos por envolvimento claríssimo com entidade estrangeira e a vergonhosa, a desonrosa omissão ao dever da parte das Forças Armadas na defesa de nossas instituições. É muito estranho tudo isso!",0,1114,1
"Primeira vez que eu e minha família votamos no PT. Tínhamos esperança, mas a seita bolsonarista é longe pior que a petista. Não pode abrir a boca exceto pra babar ovo do Mito kkkk",1,2781,1
Escutem da própria boca do servo do diabo. Ele vai sim emplatar a ditadura comunista.,1,2845,1
"Se é caso de seguranca nacional, as FFAA irão aceitar? Baterão continência para um ladrão condenado em 3 instâncias? Já bateram para uma terrorista, né?:man_shrugging:",1,2678,1
"Pessoal, está claro que tem PTista infiltrado aqui neste canal, e eles querem é tumultuar insinuando ""coisas"" ou criando narrativas para desestimular alguns bolsonaristas não muito convictos. Tenhamos foco no nosso objetivo: Fortalecer o grupo e Eleger o nosso presidente.",0,306,1
"DESCULPEM   MAS  SÓ IGNORANTE,  DÉBIL MENTAL ,  OU  LADRÃO  VOTA  NO  PRESIDIÁRIO  QUE  ARRASOU  COM  O  BRASIL  , AQUI  DENTRO  E   NO  EXTERIOR !!!

O  CACHACEIRO  DIZ :  NÃO  VOU  ROUBAR  DESTA  VEZ !!!???????? 
SÓ  MESMO  MUITO  BURRO PRA ACREDITAR  NISSO !!  

GENTE  VAMOS  PRA  RUA  COM  MENSAGEM  :

PRESIDENTE BOLSONARO, ACIONE  AS  FFAA ,  COM  O  SR.  NO  PODER  :folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands::folded_hands:",1,1736,1
"A intenção é a China governar...ele negociou o Brasil, nos iremso comer  bichinhos...formigas baratas..eles irão comer comidas de verdades...são comunistas...seremos seus escravos...ditadores doentes..e o lulaladrão vai gostar sua velhice.   MAS SÓ QNÃO!! PORQUE IREMOS LUTAR!!",1,2904,1
"Aqui nesse grupo mesmo ,tem um monte de lulista que estão vendo a gente postar fatos sobre o lula todos os dias e mesmo assim continuam cegos e querem nos afundar e nos levar a viver o inferno na terra juntamente com eles , se esse ditador autoritário ganhar",0,29,1
"Estamos fazendo isso, agora o problema é se quem já tá fraudando agora, você acha que não vão fraudar domingo?? É claro que vão! Esse é o objetivo deles! Se o presidente nada fizer nada junto com as FAAS, nós vamos ter que aguentar o ladrão!! Deus nos livre desse mal! :flushed_face::flushed_face::flushed_face::folded_hands::folded_hands::folded_hands::folded_hands:",1,2991,1
"Marcos Pontes é a única opção da Direita no Senado. Ou entra Marcos Pontes ou entra o comunista Marcio França. 
VOTEM 222, pelo bem de SP Marcos Pontes Senador.",1,1951,0
"Por que estás abatida, ó minha alma, e por que te perturbas dentro de mim? Espera em Deus, pois ainda o louvarei, o qual é a salvação da minha face, e o meu Deus.
Salmos 42.:Brazil::Israel:",0,1063,0
luladrao nao foi inocente e mto mesmo zerou as contas ele nao foi absolvido digo aqui q ele nao ira assumir pq tera moradia fixa no alvorada onde ele oediu tanto tramite dos processos de coritiba p Brasilia e se deu mau oq o Moro ta com moradia fixa tbm em Brasilia ! Gereral Heleno ja deu uma deixa q nao vao entrega faixa assim nao facil,1,1915,1
É isso aí João de Deus .O ladrão do Lula quer soltar,1,2206,1
"A esquerdalha em massa está atacando a página ypê
Pq apoiou o presidente 
Por favor e se possível vão lá  na página ypê dá um up na página :Brazil::Brazil::Brazil:",1,1962,1
"Nao fuja da pergunta. Estou perguntando se esta tudo bem negociar com a Arábia Saudita que persegue cristaos, tirar foto com o ditador de la e postar na internet. Dessa forma fica dificil criticar o LULADRAO",1,2736,1
"Quanta idiotice! Neste momento o importante é o bem do país,  é não o retrocesso de mentiras, roubos, e ideologia de gênero.
Os que pensam comungam com as ideologias e atitudes desse bandido do 9 dedos e com os  adeptos da bandidagem, já consagrados dentro dessa categoria que os mesmos pertencem.  Não  adianta discutir. O livre arbítrio é de Cada Um. 
Outra coisa, o Agro é desde as grandes produções, como as pequenas propriedades dos agricultores familiares.  E todos esses são  homens e mulheres de bem, responsáveis,  trabalhadores que produzem alimento para este país e para muitos países mundo afora. Ridículo vc chama- los de vagabundo. Isso é  inversão de valores, pois enquanto os homens de bem produzem os vagabundos ficam a falar asneira e idolatrar bandidos.",1,2212,1
":warning::warning:IMPORTANTE :warning::warning:

Não percam tempo falando de fraude, as forças armadas e o presidente estão averiguando isso. O foco deve ser conquistar os indecisos que foram de Lula no 1° turno por influência da mídia e ""voto útil"" para o primeiro das pesquisas.

Lembre : 
- a esquerda cresceu na América Latina devido a abstenção 
Repassem.",0,1235,0
"Milly, eu tenho um vídeo sobre o decreto que o Luladrão e a Mulher que estoca vento assinaram sobre a religião, propriedade privada e regulação da mídia no canal que fiz aqui no Telegram mesmo (Memória Conservadora), se quiser veja lá se te atende. :winking_face:",1,2665,1
"A DITADURA COMUNISTA AVANÇA 

:police_car_light:URGENTE: Igreja luterana da Paz em Joinville sendo invadida agora a noite por militantes canhotos, aos gritos de ""Eles são de direita aqui"".

Mais um crime de ódio aos Cristãos.:police_car_light:",1,2504,1
O presidente e sua acessoria sabe muito bem do que a esquerda é capaz!,0,196,0
Uma velha dessa podre de rica e ainda quer arrancar dos pobres com impostos e corrupção mais seu aliado luladrao,1,2793,1
"""É crime mesmo!"", só que o criminoso foi descondenado e é apoiado por maioria no STF, e pelo presidente ""exemplar"" do Senado, futuro candidato ao STF na gestão petista, que se Deus quiser não virá!",1,2650,1
"Enquanto estão aqui denegrindo a imagem do Presidente ele estava na igreja evangélica orando por vocês. 
Sou Bolsonaro e não acredito em nada do que a esquerda está fazendo contra nosso Presidente. 
São capazes de tudo para o ladrão voltar a cena do crime.
 Dia 30 será 22 nas urnas
Bolsonaroreeleitoem2022 :Brazil::Brazil::Brazil::Brazil::green_heart::yellow_heart::green_heart::yellow_heart::green_heart::yellow_heart::green_heart::yellow_heart:",1,2060,1
"Satanás joga sujo, porém o cristão deve jogar limpo com Deus para que ele vença o jogo.

 Helgir Girodo",0,289,0
"VOTOS BRANCOS, NULOS E ABSTENÇÕES VÃO ELEGER O LULA, POIS A ESQUERDA JAMAIS DEIXA DE VOTAR NO SEU CANDIDATO, BOM OU RUIM !!! Foi assim na ARGENTINA, CHILE e COLÔMBIA !!!",0,76,1
