text_content_anonymous,preconceito
"Graças a Deus :folded_hands:, torcer para não voltarem mais a Governar o BRASIL",0
A blogueira nem apagou a calúnia e olha só a virgem no puteiro,1
"Eu vou fazer Simm, vc merece ter uma vida melhor Deus ter amor meu irmão essa vida que Deus nos dá não e para isso",0
E outro frustrado ia levar um cargo com a esquerda agora vai levar e uma rasteira,0
Vamos compartilhar essas palavras do comunista Luladrão ao povo PeTralhas,1
"As pesquisas depois da prensa da Federal e Exercito ,resolveram falar a verdade e já mostram Bolsonaro na frente 51 contra 43 , graças a Deus vamos vencer!!!! IPEC antigo IBOPE.",0
"Ele não foi legalizar. Ele foi comprar arma legal. Pois é mais barato e seguro.
Tá se fazendo de desentendida.
Qual a lógica do cara legalizar uma arma ilegal?",0
"Pela aí Deus não creio satanás ele quis toma o trono de Deus, que somente a ele pertence ao Deus expulsou ele do céu, mais tbm não foi para nós tortura não, pera aí nossas escolhas nossas consequências né oque vc acha?",0
"Oi estou vendo que vc acha que me sentiria ofendido por sua colocação, mas vamos lá, tirando a clara baixeza de seu argumento, aonde precisa tentar ofender, um esforço deveras patético para uma pessoa que quer se dispor como alguém de alguma forma superior a outra, então vamos pela lei de Cristo somos todos irmãos e irmãs e todos iguais perante a Deus, não cabendo condenar ninguém.

Também há a questão que mesmo na Bíblia calúnia e difamação é um ato criminoso ao qual é muito mal visto então se já passamos uma pá de cal sobre esse seu infeliz pronunciamento.

Não, não sou homo sexual, não tenho qualquer trejeitos delicado e muito menos sou destemperado e barraqueiro.

Também não estou em cima de qualquer muro, me coloco aqui em uma posição clara entre Belzebu e Baphomet eu não fico com nenhum, anjos caídos não se arrependem de seus pecados e este é o caso destes dois déspotas.",1
Devem ter ganho uma verba bem gorda para produzir o mesmo.,0
Pelo amor de Deus :folded_hands_light_skin_tone: entenda.  :Brazil:,0
"Esquerda: Eu completamente quebrada, com 43 quilos, vivendo na rua, com medo, com dor, viciada em metanfetamina e heroína e pronta para a minha vida acabar. Tive endocardite duas vezes e um buraco no coração. Minha mãe tirou essa foto quando veio me resgatar. ⁣",0
"BOMBA ESSE HOMEM :backhand_index_pointing_up_medium-light_skin_tone: DESAFIOU O STF E DISSE QUE VAI INVADIR TODOS OS COMPUTADORES DO SUPREMO E VAI PROVAR QUE AS URNAS FORAM FRAUDADAS NESSAS ELEIÇÕES  
VEJA O VÍDEO POR FAVOR",0
"Gente...até  qdo  isto???
Tenho netos ...adolescentes..
Inteligentes... não toleram ideologias de nenhum tipo...
Como encarar esta raivosa intolerância...
Como mãe...avó de 73 anos...nunca vi isto...
SÓ JESUS  NA NOSSA CAUSA...
Oremos...oremos... Nossa 
Oração...
SENTADO À DIREITA DE DEUS QUE PAI...não a esquerda...
Brasil acima de tudo...
DEUS acima de todos...
:green_heart::Brazil:",1
"Esse seu assunto aí já foi respondido por vários aqui. Mas parece que você é masoquista e quer continuar apanhando.
Não vou ficar dando palco pra doido.",1
"Que bênção :folded_hands_light_skin_tone:
Que Jesus Cristo continue te guardando te abençoando vc é valiosa pra Deus :folded_hands_light_skin_tone:",0
Só quem vota nele é esquerdista igual meia dúzia de gente da cultura e educação aqui de cachoeiras que votou nesse pilantra,1
Ladrão vagabundo só fala merda é uma vergonha ninguém quer luladrão não,1
"HAVERÁ SIM NO NOME SANTO DO GRANDE DEUS. 
O POVO ACORDE ENQUANTO HÁ TEMPO.",0
"Quando a gente ora e busca, Deus trabalha, e transforma sim situações impossíveis!",0
O boso vai ficar louco sem o apoio do ACM NETO na Bahia,0
"Bloqueia nao. Deixa eles verem o que postamos. Assim pode ser que abram suas mentes. Que adeanta nós postarmos sempre pra nòs mesmos ?  nos que isso pode nos ajudar em nossa causa? Ficarmos numa bolha nada muda. Da discussao nasce a luz. É tambem a prova do nosso espirito democrata, acho.",0
"O SATANÁS está certo!!!! O LULA se une com todas as religiões, se diz democrático e prega que vai respeitar a opção de credo e fica excluindo o satanismo?!",1
Será que o cidadão de bem não percebe isso!,0
":backhand_index_pointing_up::backhand_index_pointing_up::backhand_index_pointing_up:Vamos sentar o dedo. O vídeo retirado é esse aqui. Esse foi o vídeo que o Alexandre de Moraes mandou apagar da página do Bolsonaro. Vamos todos postar nas redes sociais.  Quero ver ele mandar apagar de milhares de pessoas.  :Brazil::Brazil::Brazil:
Precisa falar mais claro???",0
"Depende é o pai levando a filha pequena ao banheiro, ou devemos viver numa sociedade doente que imagina todo homem um tarado que dará algo de errado com a filha",0
"Esse CNPJ foi criado, é para ajudar com qualquer valor para os adesivos do nosso presidente Bolsonaro, estamos na luta,quem puder ajudar com qualquer valor ficamos agradecido.",0
:backhand_index_pointing_up:policiais armados há tem que correr de bandidos imaginem sem armas !! meu Deus !!!,0
"Vc tá equivocado amigo ,não quero saber quem apoia Pedro não ,quero saber.pq apoiar um cara neutro em relação ao presidente ,a luta não é mudar a Paraíba não é o cenário nacional ,Pedro só quer vantagem é filho de cassio",0
"Boa tarde, pessoal é verídico que foi represália da ditadura Venezuelana?",0
Dia 8 de Outubro - Dia do Nordestino - Parabéns e um forte e calouroso abraço.,0
"Pois é isso que a esquerda doente prega.
Se vc se sentir mulher vc pode",1
"Isso, vamos postar isso o tempo todo, até a boiada entender quem é o safado, ladrão, facista, genocida e etc…",1
"Cara eu sou pro vida não sou a favor de nenhuma forma de morte de pessoas assistida ou dirigida pelo estado, somente a definida por Deus em seu tempo",0
Sangue de Jesus tem poder e repreenda esse espírito de enganação,0
"Vamos ganhar , se Deus quiser !!!! Coloquem as falas do cachaceiro só por conta disso já virei dois votos !!!!!falem com os frentistas, diaristas ...percam langues minutos é pelo bem do país !!",0
"Pois é agora pra tirar esse canalha traidor, só daqui 8 anos.",1
"Garota inteligente e muito patriota, mas com certeza ela teria que ter alguém à protegendo onde ela for, porque a esquerda da universidade não irão perdoar essa Super Guerreira :Brazil::folded_hands_light_skin_tone::Brazil:. São de jovens iguais que o Brasil :Brazil:precisa :clapping_hands::thumbs_up:",1
"Disse muito bem, não se trata de votar no Presidente Bolsonaro ou no Lula, com todos os seus roubos, seus cúmplices e suas mentiras, trata-se de votar em um Sistema, um Sistema que tem tudo a ver com o Diabo e outro Sistema que tem tudo a ver com os ensinamentos de Deus, e se a gente estiver com Deus, teremos uma nação abençoada, e se não, estaremos em um lugar amaldiçoado que nem se pode dizer que é uma nação.
Deus abençoe o discernimento das pessoas que estão escolhendo maldição e renegando a Deus e por conseguinte às suas bençãos.",1
"Repassem para os amigos que associam orçamento “secreto” à corrupção… essa foi a narrativa mais inteligente que vi da imprensa e da esquerda para destruir o oponente- eles são craques nisso… a propósito, acho o dito “orçamento secreto” muito mais barato e transparente que colocar estatais e ministérios nas mãos dos políticos/partidos aliados…",0
"nao esperemos que Deus faça tudo sozinho, ele usa a gente como instrumento para isso",0
"Toda autoridade é constituída ou permitida, por Deus. Ex: Saul e Davi.",0
"*Grande Patriota Cintra* um exemplo de que se pode fazer uma política limpa, honesta e solidário. Não há necessidade de se passar por cima dos outros, de se constranger os irmãos e nem de se armar redes de intriga. O amigo Cintra é a pessoa franca que nos motiva buscar o bem maior em detrimentos das vaidades pessoais. Obrigado por fazer parte de meu circulo de amigos leais. Aceite a continência deste velho soldado que acredita no sonho de um Pará melhor. Cel EB Paulo Bastos.",0
"*NÃO HÁ DEMOCRACIA SEM SOBERANIA POPULAR*

A Constituição diz que *todo poder emana do povo*, mas não diretamente: hoje, a população depende dos seus representantes.

Para mudar isso, protocolamos um projeto para dar ao cidadão comum a possibilidade de propor leis via abaixo-assinado e protocolar na Câmara dos Deputados.

Também elaboramos o projeto de recall de mandato, para dar à sociedade o poder de revogar o mandato de alguém que se elegeu ou foi indicado e não cumpriu com suas funções. 

Criamos esses e outros projetos para regulamentar a soberania popular dentro da Constituição do Brasil.

*Compartilhe meu vídeo com seus amigos para promover a soberania popular!*

Meu nome é *Luiz Philippe de Orleans e Bragança*. Sou deputado federal e candidato à reeleição.

_Conto com seu apoio e divulgação. Meu número é *2243* para deputado federal por São Paulo. Vamos continuar juntos em defesa do Brasil._

:mobile_phone_with_arrow: Ajude também compartilhando m",0
"Daniel Silveira tá dentro. Pelo amor de Deus, não vote em Romário.",0
"Atenção *João 8:32* a verdade aparecendo

Para quem acha que esse Coronel Ramalho é de Direita, saiba que ele juntamente com o Renato Casagrande fecharam comércios e quase derruíram o Espírito Santo. 

*Em Brasília será oposição ao Presidente Bolsonaro*",0
"Com muita satisfação o povo italiano elege GIOGUA MELANI como a nova líder.de.direita tendo sido prestigiada.pelo Povo que também trouxe  parlamentares de.maioria a.direita. A Itália como o brasil estão alinhados com nosso.senhor Jesus Cristo, único Deus verdadeiramente brasileiro e agora italiano também :clapping_hands_light_skin_tone:",0
"Urnas sendo manipuladas dentro de sindicato ligado ao PT segundo informações a cidade é Itapeva, mas não disseram se é em SP ou MG pois ambos estados tem cidade com esse nome..  Eu não tenho dúvidas que a FRAUDE será estrondosa para IMPEDIR a reeleição de Bolsonaro... GRAVÍSSIMO... Óbvio que a adulteração do programa deve estar sendo feita em cada cidade essa semana, ao receberem as urnas..  elas foram lacradas pelo TSE sem permitir as FFAA fazer inspeção por isso mesmo, porque já estava combinado com os sindicatos que estão recebendo as urnas, tirar o lacre e Fraudar seus programas para que mudem os votos e FRAUDEM a eleição em favor da ESQUERDA.",1
"Essa :index_pointing_up:foi boa q Colei:index_pointing_up::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:


Demostração de censura.
Calado.
Mudo.
Medo?
Vermelho ditador em forma democracia.
Vermelho que não liberta.......
etc,.....









Eu Sou eh 22.
Esperança .
Liberdade.
Vida.
Alegria.
Paz de vivência de Em amarelo rico de sabedorias....
Força...Luta... guerreiros :thumbs_up::thumbs_up::thumbs_up::victory_hand::victory_hand::victory_hand::Brazil::Brazil::Brazil::Brazil::Brazil::victory_hand::victory_hand::victory_hand::victory_hand::Brazil::Brazil::Brazil::Brazil:
22
22
22
22
22
:victory_hand:
:Brazil::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::Brazil::victory_hand::Brazil::victory_hand::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::thumbs_up::Brazil:",1
"Desconfie de quem lhe promete o mundo. Mula hoje fala em picanha para todos, mas quando estava no poder e a bomba da corrupção sistêmica explodiu no colo do povo, gerando a maior crise de nossa história, era isso que ele dizia. Assim é o PT: vende o paraíso e entrega o inferno!",1
"Anota ai e prega na parede pra não sumir .

Esse ano de 2022 teremos eleições! 
Vocês sabiam que já temos 19 (dezenove) Partidos de Esquerda e todos são ligados ao PT (a nave mãe).

Saibam os números dos candidatos, pois eles não colocam a sigla do partido, exatamente para não percebermos quem eles são:

01º - 13 ... PT
02º - 12 ... PDT
03º - 15 ... MDB
04º - 16 ... PST
05º - 18 ... REDE
06º - 21 ... PCB
07º - 23 ... Cidadania
08º - 29 ... PCO
09º - 33 ... PMN
10º - 40 ... PSB
11º - 43 ... PV
12º - 44 ... União Brasil= (DEM+PSL)
13º - 45 ... PSDB
14° - 50 ... PSOL
15° - 54 ... PPL
16° - 55 ... PSD
17° - 65 ... PCdoB
18° - 77 ... Solidariedade 
19° - 80 ... UP

Estes 19 Partidos são todos ligados ao PT.
*ENTÃO AJUDEM A DIVULGAR, para não elegermos mais candidatos destes partidos.
*As Eleições para PRESIDENTE, GOVERNADORES, SENADORES E DEPUTADOS, se aproxima",0
"*Joaquim Barbosa (ex Ministro do stf)... Gravou vídeo para campanha do ladrão*... 
Vamos resgatar aquele vídeo... Q ele diz q só o Bolsonaro, NÃO era corrupto, no mensalão... 
Vamos confundir a cabeça, da petezada...",1
":Brazil: Assistam esse Depoimento do empresário Luciano Hang,  dono Grupo Havan, , que mesmo que o Brasil mergulhe num abismo socialista, pode sair do país, com todo o seu Direito, e investir em um outro país que respeite as liberdades e a  meritocracia, Esta é a Eleição mais importante da história do Brasil e para o Destino dos Brasileiros, de nada vai adiantar reclamar no dia seguinte,  depois de trazer Lula e a Facção Criminosa do PT de volta a cena do Crime. :Brazil:",1
"Socialismo em Los Angeles. Caos total depois que passaram a legislação permitindo até 900 dólares em roubo sem punição.

Não podemos permitir que a esquerda tome conta do poder, com eles no poder tudo que há de pior pode acontecer.",1
É claro que um ajudante de ordens faz pagamentos para o presidente. A função dele é essa. Ele é assistente pessoal de um chefe de Estado. E é claro que ele não vai deixar a conta do presidente exposta. É o presidente da República! A manicure não tem que saber o número! Meu Deus!,0
"Acabei de testar positivo para BRASILVID 22!  Estou com os seguintes sintomas: Patriotismo, Vontade de Trabalhar,  Fé em Deus,   Bronca de inimigos do Brasil. 
Minha vacina agendada para 02/10/2022 é a BOLSOVAC! 100% de eficácia, Imunidade garantida por 4 anos!
:syringe: 1ª dose foi em 2018 :syringe: 2ª dose em 10/2022…  
Tratamento complementar: JAIRMECTINA AZITROMESSIAS HIDROXICLOROMITO.
Se você também tem esses sintomas, passe adiante para o bem do Brasil! :Brazil:
:grimacing_face::beaming_face_with_smiling_eyes::rolling_on_the_floor_laughing::folded_hands::folded_hands::folded_hands::Brazil::Brazil:",0
Se fosse vermelha a reação  da globolixo seria a mesma? Claro que não,1
"Isso a velha imprensa não mostra , a situação que a Argentina está ….. segue vídeos recentes , enviado por argentinos :backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down:",0
"A verdade nua e crua, a esquerda mal intencionada editaram o vídeo mas graças adeus hoje existe as redes sociais para desmentir essa esquerda que querem colocar um ladrão no poder ou seja querem que ele volte pra sena do crime segundo o Geraldo Alkmin vice do ladrão",1
"*Preste atenção quando forem votar. O voto para Deputados é PROPORCIONAL, como está muito bem explicado nestes 2 áudios aqui a seguir... muita atenção então....*
.
*Os 3 partidos que apoiam o Presidente Bolsonaro são:*
*PL (22) Partido Liberal;*
*PR (10) Republicanos e,*
*PTB (14) Partido Trabalhista Brasileiro.*
.
*NÃO VOTEM em nenhum Deputado Federal nem Estadual de qualquer outro partido diferente destes 3, caso contrário vocês poderão estar,  sem querer, ajudando à eleger um partido de esquerda...*
:down_arrow::down_arrow::down_arrow::down_arrow::Brazil::Brazil::Brazil::Brazil:",0
Se molon entrar vai ser o inferno na terra para o Bolsonaro.,0
"O Daniel Silveira é tão burro que insiste nesta história. Ele vai fazer uma *MERDA* enorme!! Ou você vota na *BOSTA* do Romário ou entra a *PORRA* do Molon!!
Votarei também no escroto do Cláudio Castro para o FDP do Freixo não entrar.
É o que temos por agora. Ou esses ou teremos os maiores inimigos do povo e da nação no congresso. Infelizmente!",1
"Compartilhem ao máximo
notícia boa :keycap_2::keycap_2:
Deus vai bradar na Terra dos viventes e mostrar quem tem o controle.",0
"Atos 4.12 | ARC

12 E em nenhum outro há salvação, porque também debaixo do céu nenhum outro nome há, dado entre os homens, pelo qual devamos ser salvos. 

Alguns dizem que muitos caminhos levam a Deus. Jesus, por outro lado, nos diz que Ele é o caminho, a verdade e a vida, e que ninguém chega ao Pai se não for por Ele. É nossa escolha crer que a salvação existe somente em Jesus, ou não. Jesus é o seu Senhor? Se você ainda não tomou essa decisão, ou se sua decisão não foi Jesus, reconsidere. A Bíblia nos diz que não há outro nome pelo qual devamos ser salvos.",0
"FLÁVIO BOLSONARO:
Lula é um psicopata raivoso que acredita ser inocente!
[USER] mostra 1% de tudo que o ex-presidiário e seu bando fizeram com o nosso Brasil!

Esse é o ex-presidiário elogiando o ditador sanguinário Fidel Castro!
Fuzilou, sequestrou, torturou milhares de pessoas.
Deve ter subindo 70% nas pesquisas...



:keycap_2::keycap_2: Na cabeça 
É Bolsonaro :green_heart:",1
O esquerdista Ciro teve um clímax com  o ataque do Bolsonaro frente ao Loola.,1
"Presidente - Bolsonaro 22
Senador - Rogério Marinho 222
Governador - Fábi Dantas 77
Deputado federal - Generao Girão 2210
Deputado Estadual - Coronel Azevedo 22222",0
"Lula quer sim continuar traindo o Brasil, mas desta vez com catástrofe gigante. assista o vídeo.",0
"PT PSDB e PMDB não tem nação que suporta a roubalheira desses agentes do diabo. Para mim a esquerda está roubando mais, que,  na época que eles governavam.",1
"Amado Deus, Poderoso Rei, estamos diante de Ti para mais uma vez implorar pelo Teu auxilio nessas eleições. Sabemos que não é uma guerra apenas nas urnas, mas no Reino Espiritual. Manda Senhor, teus anjos guerreiros para lutarem por nós nas regiões celestiais, não permita que Satanás vença essa guerra, e tem misericórdia do teu povo que sofre e clama por socorro.  Senhor, acampa Teus anjos guardiões ao redor das urnas eletrônicas para que não haja nenhuma fraude. Sara meu Pai, essa Nação que Te clama. Dá-nos uma chance de mudança e transforma junto com este país, o coração do Teu povo. Oh, Deus, não permita que os valores das familias e o amor a Ti sejam destruídos por pessoas que escarnecem o Teu nome. Pai querido, eu entrego o Brasil em Tuas mãos e o cubro com o Sangue de Jesus, crendo  que farás a Tua Boa, Perfeita e Agradável  Vontade, em nome do Senhor Jesus Cristo! Amém!*:folded_hands::relieved_face:

PASSAR AOS SEUS AMIGOS. 7
FAÇAMOS UMA CORRENTE DE ORAÇÃO CONTRA O MAL QUE QUER DESTRUIR O NOSSO BRASIL.",0
Xiiiiii...olha aí a bomba. Partiram p tudo ou nada.,0
"e uma VERGONHA pro  MS,  se vendeu pra China,  vc viu o comentário dela  no último debate, só por Deus.",0
"ÚLTIMO DEBATE DA GLOBO PRESIDENCIÁVEIS 
VAMOS ASSISTIR PELO OS CANAIS  DE DIREITA NO YOUTUBE  PRA GLOBO NÃO TER MUITA AUDIÊNCIA:chart_decreasing:",1
"Vamos tentar nesta semana convencer os isentos, disse isso o dia todo aqui. Vamos conversar com os vizinhos isentos. Com seus parentes isentos , com sua comadre e seu compadre isentos, seus amigos de trabalho, o rapaz do ônibus dentro de mansidão que é nossa. Vamos convencer a turma dos isentos e votarem nos candidatos da direita em.todas esferas , convença também a sua avó e seu avô, diga a eles que o voto deles representa a garantia de um futuro servil e sadio a nossa nação  e a nossa família. Hoje eu convenci a dois amigos que aceitaram meus argumentos, amanhã tentarei mais dois amigos, até domingo quero atingir pelo menos 10 isentos e atingir minha meta se cada um de nós fizermos esse trabalho atingiremos facilmente 20milhoes de votos e aí ganhamos com larga folga. Recorte na lista abaixo os candidatos do seu estado e depois de conversar com os isentos envie sua lista Santa de bons canditados apoiadores da da direita e do nosso amado PR Bolsonaro.  Abaixo a lista",0
":bomb: :bomb::bomb: Bomba bomba :bomb::bomb::bomb:
Querem enganar e desanimar o povo brasileiro. Não acreditem nessas pesquisas. :index_pointing_up::index_pointing_up::index_pointing_up::index_pointing_up::index_pointing_up::index_pointing_up::index_pointing_up::index_pointing_up::face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth::face_with_symbols_on_mouth:",0
"CANDIDATOS EM 2022
Deputado Estadual: Felipe pombel 22622.
 Deputado Federal: General Pazuelo 2212.
 Senador: Daniel Silveira 142.
 Governador: Claudio Castro 22.
 Presidente: Bolsonaro 22.
 BRASIL ACIMA DE TUDO E DEUS ACIMA DE TODOS.",0
"Ela é uma traíra, temos que votar na damares e Coronel moreno",0
"*MINHAS OPÇÕES DE VOTO*

*Deputado Federal*
2222 Bia kicis 

*Deputado Distrital Emanuel Resolve 70222

 *Senadora Damares*100
 

*Governador*
14 Coronel moreno 

*Presidente*
:keycap_2::keycap_2:Bolsonaro",0
E daí. A culpa é do cidadão q não presta. Né do governo não. Bandido tem em todo lugar.,0
":man_bowing::woman_bowing_light_skin_tone::palms_up_together::yellow_heart::red_heart::green_heart::yellow_heart::Brazil::clapping_hands_light_skin_tone: Pastor [USER] disse que o Presidente é o cara mais Patriota que ele conhece! A Mídia mente todos os dias contra ele, e ele permanece de pé! [USER] :keycap_2::keycap_2: 
#deus #familia #patria #liberdade",0
A eleição do Romário SÓ FAVORECE A ESQUERDA. Ele é o candidato da esquerda.,0
"*Gente, nestas eleições, vamos expulsar do senado: David Alcolumbre, Romário, Acir gurgacz, Alexandre Silveira, Dario Berger, elmano Ferrer, guaracy Silveira, Álvaro dias, Jean Paul Prates, José Serra,  Luis Carlos do Carmo, Luiz pastore, nilda gomdim, Otto Alencar, Omar Aziz, regufe, tasso jereissati, telmario Motta, wellington Fagundes e vamos substitui-Los pelos nossos candidatos da listagem conforme amostra estado por estado*",0
":backhand_index_pointing_up:Esquerda ja ta usando isso pra narrativa... ""esqueceram propositalmente"" de avisar que quem parou o ataque foi um homem armado que passava na rua...",0
"Veja o que passa agora na Record..
Sobre a esquerda.

C tá eh loku
:weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::persevering_face::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::weary_cat::persevering_face::weary_cat::weary_cat::weary_cat::Angola::weary_cat::weary_cat::weary_cat:",0
"O problema que petista assiste e concorda com Lula.
Até que um filho seja morto em um assalto, ou sua filha seja estuprada ....as pessoas por interesse próprio só dão valor na policia quando seis homens armados entram em sua casa e fazem sua família de refém",1
"Candidata de direita e com a mesma bandeira do Bolsonaro, venceu as eleições ontem.",0
Domingo é a nossa vez de varrer a esquerda do Brasil.,1
"Quem é de Direita nem assiste essa emissora lixo , literalmente.",1
"Que podemos dizer diante de coisas tão maravilhosas? Se Deus é por nós, quem será contra nós?
Romanos 8:31 NVT

DEUS É BOM :folded_hands_light_skin_tone::folded_hands_light_skin_tone:
BOM DIA :right-facing_fist_light_skin_tone::Brazil::left-facing_fist_light_skin_tone:


BOLSONARO 22:clapping_hands_light_skin_tone::right-facing_fist_light_skin_tone::left-facing_fist_light_skin_tone::Brazil::Brazil:",0
